season,period_type,division,game_number,course_name,player_a,player_b,source_row_a,source_row_b,source_cell_a,source_cell_b,source_color,played_state,pairing_status,evidence_type,source_workbook,source_tab,source_range,source_sha256,source_era,provenance,notes
1,season,1,2,QVH,Amberwave,,2,,J2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Awkward3Sauce,,3,,J3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Awesome_Kris,,4,,J4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Newsette,,5,,J5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,BadWolff,,6,,J6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Amy_Sweet,,7,,J7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Power25,,8,,J8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,Princess_Krys,,9,,J9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,KILL_ER_BEE,,10,,J10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,2,QVH,ChipnPutt,,11,,J11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Amberwave,,2,,K2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Awkward3Sauce,,3,,K3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Awesome_Kris,,4,,K4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Newsette,,5,,K5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,BadWolff,,6,,K6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Amy_Sweet,,7,,K7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Power25,,8,,K8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,Princess_Krys,,9,,K9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,KILL_ER_BEE,,10,,K10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,3,AME,ChipnPutt,,11,,K11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Amberwave,,2,,L2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Awkward3Sauce,,3,,L3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Awesome_Kris,,4,,L4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Newsette,,5,,L5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,BadWolff,,6,,L6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Amy_Sweet,,7,,L7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Power25,,8,,L8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,Princess_Krys,,9,,L9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,KILL_ER_BEE,,10,,L10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,4,TTE,ChipnPutt,,11,,L11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Amberwave,,2,,M2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Awkward3Sauce,,3,,M3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Awesome_Kris,,4,,M4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Newsette,,5,,M5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,BadWolff,,6,,M6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Amy_Sweet,,7,,M7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Power25,,8,,M8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,Princess_Krys,,9,,M9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,KILL_ER_BEE,,10,,M10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,5,CBH,ChipnPutt,,11,,M11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Amberwave,,2,,N2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Awkward3Sauce,,3,,N3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Awesome_Kris,,4,,N4,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Newsette,,5,,N5,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,BadWolff,,6,,N6,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Amy_Sweet,,7,,N7,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Power25,,8,,N8,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,Princess_Krys,,9,,N9,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,KILL_ER_BEE,,10,,N10,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,6,SLE,ChipnPutt,,11,,N11,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,7,TSH,Amberwave,,2,,O2,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
1,season,1,7,TSH,Awkward3Sauce,,3,,O3,,,UNKNOWN — NO SOURCE COLOR EVIDENCE,UNKNOWN — NO SOURCE COLOR EVIDENCE,NO USABLE FONT COLOR IN THIS ERA,PAST SEASONS,S1,'S1'!A1:T54,470807255cfdc177708287d76f6fbcbbca8c142dc71c8d687601628e6a2fb78e,legacy_9_course_aggregate_s1,"opponent not inferred from scores, standings, rank, row order, or adjacent players",Manual review required.
